time_ms,R1_Roll,R1_Pitch,R1_Yaw,R2_Roll,R2_Pitch,R2_Yaw,R3_Roll,R3_Pitch,R3_Yaw,R4_Roll,R4_Pitch,R4_Yaw
0,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
1,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
2,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
3,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
4,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
5,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
6,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
7,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
8,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
9,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
10,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
11,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
12,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
13,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
14,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
15,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
16,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
17,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
18,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
19,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
20,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
21,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
22,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
23,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
24,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
25,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
26,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
27,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
28,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
29,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
30,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
31,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
32,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
33,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
34,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
35,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
36,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
37,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
38,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
39,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
40,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
41,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
42,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
43,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
44,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
45,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
46,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
47,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
48,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
49,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
50,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
51,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
52,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
53,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
54,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
55,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
56,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
57,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
58,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
59,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
60,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
61,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
62,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
63,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
64,6.000000,-13.000000,-103.000000,-17.000000,-2.000000,-98.000000,-15.000000,-3.000000,113.000000,67.000000,11.000000,-75.000000
