time_ms,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
0,1.000000,2.000000,-6.000000,0.000000,0.000000,0.000000,-11.000000,0.000000
1,0.000000,2.000000,-6.000000,0.000000,0.000000,0.000000,-11.000000,0.000000
2,0.000000,2.000000,-2.000000,-2.000000,-2.000000,1.000000,-11.000000,0.000000
3,0.000000,0.000000,-2.000000,-2.000000,-2.000000,2.000000,-11.000000,0.000000
4,4.000000,0.000000,-2.000000,1.000000,-2.000000,2.000000,-12.000000,-1.000000
5,6.000000,0.000000,1.000000,1.000000,-2.000000,0.000000,-12.000000,-1.000000
6,-4.000000,-2.000000,1.000000,1.000000,-2.000000,-2.000000,-12.000000,-1.000000
7,-3.000000,-2.000000,1.000000,1.000000,0.000000,-1.000000,-12.000000,0.000000
8,1.000000,-2.000000,2.000000,1.000000,0.000000,-1.000000,-12.000000,0.000000
9,-2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,-3.000000,0.000000
10,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,-3.000000,0.000000
11,0.000000,0.000000,-2.000000,1.000000,-3.000000,0.000000,-3.000000,0.000000
12,-2.000000,0.000000,-2.000000,0.000000,-3.000000,0.000000,-3.000000,0.000000
13,0.000000,0.000000,-2.000000,0.000000,-3.000000,-1.000000,-8.000000,0.000000
14,-2.000000,-2.000000,0.000000,0.000000,-3.000000,-1.000000,-8.000000,-1.000000
15,0.000000,-2.000000,0.000000,0.000000,-3.000000,-1.000000,-8.000000,-1.000000
16,2.000000,-2.000000,0.000000,-1.000000,-3.000000,0.000000,-8.000000,-1.000000
17,1.000000,-1.000000,8.000000,-1.000000,-3.000000,0.000000,-8.000000,-1.000000
18,0.000000,-1.000000,8.000000,-1.000000,-3.000000,0.000000,-4.000000,-1.000000
19,0.000000,-1.000000,8.000000,-1.000000,-3.000000,0.000000,-4.000000,1.000000
20,1.000000,0.000000,0.000000,1.000000,12.000000,-1.000000,-4.000000,1.000000
21,1.000000,0.000000,0.000000,1.000000,12.000000,-1.000000,-4.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000
23,-5.000000,0.000000,-6.000000,0.000000,12.000000,-1.000000,0.000000,0.000000
24,-8.000000,0.000000,-6.000000,0.000000,6.000000,-1.000000,0.000000,0.000000
25,3.000000,0.000000,0.000000,1.000000,6.000000,-2.000000,0.000000,0.000000
26,1.000000,-1.000000,0.000000,1.000000,6.000000,-1.000000,3.000000,0.000000
27,0.000000,-1.000000,0.000000,1.000000,6.000000,-1.000000,3.000000,0.000000
28,0.000000,-1.000000,6.000000,1.000000,6.000000,0.000000,3.000000,0.000000
29,0.000000,-1.000000,6.000000,2.000000,0.000000,0.000000,3.000000,0.000000
30,0.000000,-1.000000,6.000000,2.000000,0.000000,-2.000000,3.000000,0.000000
31,0.000000,-1.000000,1.000000,1.000000,0.000000,-2.000000,10.000000,0.000000
32,0.000000,-5.000000,1.000000,1.000000,0.000000,-7.000000,10.000000,0.000000
33,0.000000,-5.000000,1.000000,-1.000000,0.000000,-6.000000,10.000000,0.000000
34,0.000000,-5.000000,-2.000000,-1.000000,0.000000,-6.000000,10.000000,0.000000
35,0.000000,-6.000000,-2.000000,-1.000000,0.000000,2.000000,8.000000,0.000000
36,0.000000,-6.000000,-2.000000,-1.000000,0.000000,2.000000,8.000000,-1.000000
37,0.000000,-6.000000,2.000000,0.000000,-8.000000,2.000000,8.000000,-1.000000
38,0.000000,1.000000,2.000000,0.000000,-8.000000,-2.000000,8.000000,-5.000000
39,-1.000000,1.000000,2.000000,1.000000,-8.000000,0.000000,6.000000,-5.000000
40,0.000000,1.000000,-3.000000,1.000000,-8.000000,0.000000,6.000000,-5.000000
41,0.000000,1.000000,-3.000000,0.000000,-8.000000,0.000000,6.000000,-8.000000
42,0.000000,1.000000,-3.000000,0.000000,-4.000000,0.000000,6.000000,-8.000000
43,0.000000,0.000000,-5.000000,0.000000,-4.000000,0.000000,6.000000,0.000000
44,0.000000,0.000000,-5.000000,0.000000,-4.000000,0.000000,5.000000,0.000000
45,0.000000,0.000000,-5.000000,0.000000,-4.000000,0.000000,5.000000,0.000000
46,0.000000,-6.000000,5.000000,0.000000,0.000000,0.000000,5.000000,2.000000
47,0.000000,-6.000000,5.000000,0.000000,0.000000,0.000000,5.000000,2.000000
48,0.000000,-6.000000,5.000000,0.000000,0.000000,0.000000,4.000000,-6.000000
49,0.000000,-5.000000,1.000000,-1.000000,0.000000,0.000000,4.000000,-6.000000
50,0.000000,-5.000000,1.000000,-1.000000,0.000000,0.000000,4.000000,-6.000000
51,0.000000,-5.000000,1.000000,0.000000,4.000000,-1.000000,4.000000,-5.000000
52,0.000000,2.000000,-4.000000,0.000000,4.000000,-1.000000,4.000000,-5.000000
53,-2.000000,2.000000,-4.000000,-1.000000,4.000000,-1.000000,0.000000,0.000000
