time_ms,R1_Roll,R1_Pitch,R1_Yaw,R2_Roll,R2_Pitch,R2_Yaw,R3_Roll,R3_Pitch,R3_Yaw,R4_Roll,R4_Pitch,R4_Yaw
0,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
1,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
2,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
3,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
4,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
5,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
6,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
7,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
8,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
9,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
10,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
11,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
12,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
13,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
14,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
15,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
16,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
17,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
18,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
19,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
20,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
21,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
22,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
23,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
24,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
25,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
26,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
27,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
28,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
29,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
30,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
31,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
32,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
33,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
34,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
35,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
36,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
37,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
38,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
39,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
40,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
41,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
42,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
43,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
44,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
45,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
46,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
47,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
48,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
49,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
50,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
51,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
52,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
53,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
54,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
55,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
56,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
57,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
58,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
59,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
60,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
61,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
62,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
63,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
64,20.000000,-16.000000,-114.000000,-18.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
65,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
66,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
67,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
68,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
69,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
70,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
71,19.000000,-16.000000,-114.000000,-17.000000,-3.000000,-108.000000,-14.000000,-3.000000,163.000000,65.000000,7.000000,-90.000000
