time_ms,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
0,-11.000000,-1.000000,0.000000,0.000000,-4.000000,2.000000,8.000000,1.000000
1,-11.000000,-1.000000,-5.000000,0.000000,-4.000000,2.000000,4.000000,1.000000
2,-11.000000,0.000000,-5.000000,0.000000,-4.000000,2.000000,4.000000,0.000000
3,-8.000000,0.000000,-2.000000,3.000000,-4.000000,2.000000,4.000000,0.000000
4,-8.000000,0.000000,-2.000000,3.000000,-4.000000,2.000000,4.000000,0.000000
5,-8.000000,0.000000,0.000000,3.000000,-6.000000,2.000000,4.000000,0.000000
6,-8.000000,0.000000,0.000000,3.000000,-6.000000,2.000000,4.000000,0.000000
7,-10.000000,-4.000000,-1.000000,3.000000,-6.000000,2.000000,3.000000,-2.000000
8,-10.000000,-8.000000,-1.000000,3.000000,-6.000000,2.000000,3.000000,-2.000000
9,-10.000000,-8.000000,-1.000000,3.000000,-6.000000,2.000000,5.000000,-2.000000
10,-13.000000,-8.000000,-1.000000,0.000000,11.000000,-2.000000,5.000000,-2.000000
11,-13.000000,-1.000000,0.000000,0.000000,11.000000,-2.000000,-1.000000,-2.000000
12,-13.000000,-1.000000,0.000000,0.000000,11.000000,-2.000000,-1.000000,-2.000000
13,-13.000000,2.000000,0.000000,0.000000,11.000000,-2.000000,-7.000000,0.000000
14,-13.000000,0.000000,0.000000,0.000000,11.000000,-2.000000,-7.000000,0.000000
15,-13.000000,0.000000,3.000000,0.000000,11.000000,0.000000,-2.000000,0.000000
16,-13.000000,5.000000,3.000000,0.000000,14.000000,0.000000,-2.000000,0.000000
17,-19.000000,8.000000,6.000000,0.000000,14.000000,-1.000000,0.000000,0.000000
18,-19.000000,8.000000,6.000000,0.000000,14.000000,-1.000000,0.000000,0.000000
19,-19.000000,1.000000,2.000000,0.000000,14.000000,2.000000,-7.000000,0.000000
20,-12.000000,3.000000,2.000000,-1.000000,14.000000,2.000000,-7.000000,0.000000
21,-12.000000,3.000000,9.000000,-1.000000,-10.000000,2.000000,-3.000000,0.000000
22,-12.000000,4.000000,9.000000,-1.000000,-10.000000,0.000000,-3.000000,0.000000
23,-12.000000,2.000000,9.000000,-2.000000,-10.000000,0.000000,3.000000,0.000000
24,-5.000000,2.000000,9.000000,-2.000000,-10.000000,0.000000,3.000000,-2.000000
25,-5.000000,2.000000,3.000000,-2.000000,-10.000000,0.000000,-6.000000,-2.000000
26,-5.000000,2.000000,3.000000,-2.000000,-8.000000,0.000000,-6.000000,-2.000000
27,-15.000000,3.000000,3.000000,-1.000000,-8.000000,0.000000,-2.000000,-2.000000
28,-15.000000,3.000000,3.000000,-1.000000,-8.000000,0.000000,-2.000000,-2.000000
29,-15.000000,1.000000,0.000000,-1.000000,-8.000000,0.000000,2.000000,0.000000
30,-15.000000,1.000000,0.000000,-1.000000,-8.000000,0.000000,2.000000,0.000000
31,-13.000000,1.000000,2.000000,-1.000000,-8.000000,0.000000,-9.000000,0.000000
32,-8.000000,-3.000000,2.000000,-1.000000,6.000000,1.000000,-9.000000,0.000000
33,-26.000000,-6.000000,-3.000000,-1.000000,6.000000,1.000000,-7.000000,0.000000
34,-26.000000,-6.000000,-3.000000,-2.000000,6.000000,0.000000,-7.000000,-1.000000
35,-56.000000,3.000000,-8.000000,-2.000000,6.000000,0.000000,-1.000000,-1.000000
36,-39.000000,1.000000,-8.000000,-2.000000,6.000000,0.000000,-1.000000,-1.000000
37,-39.000000,1.000000,-1.000000,0.000000,-4.000000,0.000000,-3.000000,-1.000000
38,9.000000,-1.000000,-1.000000,0.000000,-4.000000,0.000000,-3.000000,-1.000000
39,28.000000,-2.000000,-6.000000,0.000000,-4.000000,-3.000000,-1.000000,-1.000000
40,28.000000,-2.000000,-6.000000,2.000000,-4.000000,-3.000000,-1.000000,-6.000000
41,39.000000,-11.000000,0.000000,2.000000,-4.000000,-3.000000,-1.000000,-6.000000
42,49.000000,-3.000000,0.000000,2.000000,-4.000000,-5.000000,-1.000000,-6.000000
43,49.000000,-3.000000,4.000000,2.000000,-7.000000,-5.000000,3.000000,-6.000000
44,47.000000,6.000000,4.000000,0.000000,-7.000000,-2.000000,3.000000,-6.000000
45,44.000000,1.000000,-7.000000,0.000000,-7.000000,-2.000000,13.000000,-6.000000
46,44.000000,1.000000,-7.000000,0.000000,-7.000000,-2.000000,13.000000,-6.000000
47,13.000000,4.000000,-2.000000,-1.000000,-7.000000,-4.000000,-5.000000,-6.000000
48,-8.000000,3.000000,-5.000000,-1.000000,2.000000,-4.000000,-5.000000,-6.000000
49,-8.000000,3.000000,-1.000000,-1.000000,2.000000,2.000000,-5.000000,-6.000000
50,24.000000,3.000000,-1.000000,-1.000000,2.000000,2.000000,-5.000000,3.000000
51,56.000000,3.000000,0.000000,0.000000,2.000000,2.000000,-4.000000,3.000000
52,56.000000,4.000000,0.000000,0.000000,2.000000,5.000000,-4.000000,3.000000
53,58.000000,4.000000,0.000000,0.000000,0.000000,5.000000,-4.000000,3.000000
54,61.000000,1.000000,7.000000,-4.000000,0.000000,0.000000,-4.000000,3.000000
55,71.000000,1.000000,6.000000,-4.000000,0.000000,0.000000,3.000000,3.000000
56,71.000000,1.000000,0.000000,-4.000000,0.000000,3.000000,3.000000,5.000000
57,70.000000,1.000000,2.000000,-6.000000,0.000000,3.000000,3.000000,5.000000
58,59.000000,0.000000,7.000000,-6.000000,0.000000,3.000000,3.000000,5.000000
59,59.000000,0.000000,-2.000000,-6.000000,-5.000000,2.000000,3.000000,5.000000
60,37.000000,-6.000000,2.000000,-6.000000,-5.000000,2.000000,3.000000,5.000000
61,-13.000000,-6.000000,20.000000,2.000000,-5.000000,0.000000,3.000000,1.000000
62,-13.000000,-11.000000,15.000000,2.000000,-5.000000,0.000000,3.000000,1.000000
63,-72.000000,-11.000000,8.000000,2.000000,-5.000000,0.000000,3.000000,1.000000
64,-122.000000,-6.000000,11.000000,3.000000,-5.000000,2.000000,-4.000000,1.000000
65,-122.000000,-6.000000,1.000000,3.000000,-5.000000,2.000000,-4.000000,1.000000
66,-141.000000,-1.000000,-5.000000,3.000000,-5.000000,2.000000,-4.000000,1.000000
67,-130.000000,-1.000000,-1.000000,3.000000,-5.000000,2.000000,-4.000000,2.000000
68,-130.000000,-12.000000,-8.000000,-1.000000,-5.000000,2.000000,-6.000000,2.000000
69,-120.000000,-12.000000,-14.000000,-1.000000,2.000000,1.000000,-6.000000,2.000000
70,-101.000000,-15.000000,-11.000000,-1.000000,2.000000,1.000000,-6.000000,2.000000
71,-101.000000,-15.000000,-9.000000,2.000000,2.000000,0.000000,-6.000000,2.000000
72,-70.000000,-15.000000,-9.000000,2.000000,2.000000,0.000000,-6.000000,-1.000000
73,-33.000000,-15.000000,-9.000000,2.000000,2.000000,0.000000,-3.000000,-1.000000
74,-33.000000,-14.000000,-8.000000,0.000000,2.000000,0.000000,-3.000000,-1.000000
75,-11.000000,-14.000000,-7.000000,0.000000,5.000000,0.000000,-3.000000,-1.000000
76,-7.000000,-2.000000,-5.000000,0.000000,5.000000,0.000000,-3.000000,-1.000000
77,-7.000000,10.000000,-4.000000,0.000000,5.000000,0.000000,-4.000000,0.000000
